time,wind_speed,wind_direction,nacellePosition,nacelle position logs
0,5.5,37.6,0,40.6
1,5.7,56.6,0,40.6
2,6.4,48.6,0,40.6
3,6.6,30.6,0,40.6
4,6.3,58.6,0,40.6
5,5.9,83.6,0,40.6
6,5.5,22.6,0,40.6
7,5.3,37.6,0,40.6
8,5,0.6,0,40.6
9,5.1,37.6,0,40.6
10,5.9,53.6,0,40.6
11,5.7,5.6,0,40.6
12,5.8,58.6,0,40.6
13,6.4,15.6,0,40.6
14,6.4,37.6,0,40.6
15,5.9,46.6,0,40.6
16,5.3,40.6,0,40.6
17,5.2,40.6,0,40.6
18,5.5,68.6,0,40.6
19,6.1,35.6,0,40.6
20,6.6,43.6,0,40.6
21,6.8,61.6,0,40.6
22,6.8,48.6,0,40.6
23,6,88.6,0,40.6
24,5.2,40.6,0,40.6
25,5,61.6,0,40.6
26,5.4,53.6,0,40.6
27,6.1,32.6,0,40.6
28,6.4,20.6,0,40.6
29,6.4,51.6,0,40.6
30,6.3,53.6,0,40.6
31,6.1,25.6,0.03465,40.6
32,6.3,46.6,0.2244,40.6
33,6.2,41.6,0.5445,40.6
34,5.9,51.6,0.8745,40.6
35,5.4,51.6,1.2045,40.6
36,5.5,32.6,1.5345,40.6
37,5.2,25.6,1.8645,40.6
38,5.3,76.6,2.1945,40.6
39,6.3,51.6,2.5245,40.6
40,6.8,43.6,2.8545,40.6
41,6.3,37.6,3.1845,40.6
42,6.3,35.6,3.5145,40.6
43,6.2,40.6,3.8445,40.6
44,6.1,56.6,4.1745,40.6
45,6.4,41.6,4.5045,40.6
46,7,53.6,4.8345,40.6
47,7.2,30.6,5.1645,40.6
48,6.5,30.6,5.4945,40.6
49,5.9,41.6,5.8245,40.6
50,5.9,48.6,6.1545,40.6
51,6.1,48.6,6.4845,40.6
52,6.9,83.6,6.8145,40.6
53,7.1,43.6,7.1445,40.6
54,6.7,51.6,7.4745,40.6
55,6.4,78.6,7.8045,40.6
56,6.6,76.6,8.1345,40.6
57,7.1,48.6,8.4645,40.6
58,6.8,58.6,8.7945,40.6
59,6.5,43.6,9.1245,40.6
60,6.5,32.6,9.4545,40.6
61,5.9,51.6,9.7845,40.6
62,6.2,43.6,10.115,40.6
63,6.5,63.6,10.445,40.6
64,6.1,53.6,10.775,40.6
65,5.7,86.6,11.105,40.6
66,5.5,25.6,11.435,40.6
67,5.5,68.6,11.765,40.6
68,5.6,43.6,12.095,40.6
69,5.8,40.6,12.425,40.6
70,6.2,68.6,12.755,40.6
71,6.5,25.6,13.085,40.6
72,6.6,83.6,13.415,40.6
73,6.8,96.6,13.745,40.6
74,6.6,86.6,14.075,40.6
75,6.2,61.6,14.404,40.6
76,5.8,61.6,14.734,40.6
77,6.2,43.6,15.064,40.6
78,5.8,73.6,15.394,40.6
79,5.1,76.6,15.724,40.6
80,5.4,25.6,16.054,40.6
81,6.1,73.6,16.384,40.6
82,6.9,27.6,16.714,40.6
83,6.4,22.6,17.044,40.6
84,5.7,51.6,17.374,40.6
85,5.9,56.6,17.704,40.6
86,5.6,78.6,18.034,40.6
87,5.2,63.6,18.364,40.6
88,5.3,37.6,18.694,40.6
89,5.6,53.6,19.024,40.6
90,6.2,53.6,19.354,40.6
91,6.3,43.6,19.684,40.6
92,6.4,61.6,20.014,40.6
93,6.4,58.6,20.344,40.6
94,6.5,53.6,20.674,40.6
95,6,43.6,21.004,40.6
96,5.6,32.6,21.334,40.6
97,5.7,48.6,21.664,40.6
98,5.6,42.6,21.994,40.6
99,5.6,51.6,22.324,40.6
100,6.1,68.6,22.654,40.6
101,5.9,20.6,22.984,40.6
102,5.7,40.6,23.314,40.6
103,5.7,41.6,23.644,40.6
104,5.7,20.6,23.974,40.6
105,5.4,76.6,24.304,40.6
106,6.1,43.6,24.634,40.6
107,5.9,37.6,24.964,40.6
108,5.5,48.6,25.294,40.6
109,5.4,46.6,25.624,40.6
110,5.8,83.6,25.954,40.6
111,5.7,46.6,26.284,40.6
112,5.7,46.6,26.614,40.6
113,5.9,48.6,26.944,40.6
114,6,48.6,27.274,40.6
115,6.3,68.6,27.604,40.6
116,6.8,25.6,27.934,40.6
117,6.4,41.6,28.264,40.6
118,6,43.6,28.594,40.6
119,6.4,30.6,28.924,40.6
120,6.3,43.6,29.254,40.6
121,5.9,43.6,29.584,40.6
122,5.6,37.6,29.914,40.6
123,5.6,61.6,30.244,40.6
124,5.8,83.6,30.574,40.6
125,6.1,43.6,30.904,40.6
126,6.7,73.6,31.234,40.6
127,6.7,51.6,31.564,40.6
128,6.6,68.6,31.894,40.6
129,6.5,63.6,32.224,40.6
130,6.1,48.6,32.554,40.6
131,5.9,61.6,32.884,40.6
132,5.8,43.6,33.214,40.6
133,6,41.6,33.544,40.6
134,6.1,71.6,33.874,40.6
135,6.3,51.6,34.204,40.6
136,6.8,35.6,34.534,40.6
137,6.1,53.6,34.864,40.6
138,6.2,51.6,35.194,40.6
139,6.4,78.6,35.524,40.6
140,6.2,51.6,35.854,40.6
141,5.9,68.6,36.184,40.6
142,5.3,71.6,36.514,40.6
143,5.3,83.6,36.844,40.6
144,5.8,20.6,37.174,40.6
145,6.1,41.6,37.505,40.6
146,6,68.6,37.835,40.6
147,5.9,58.6,38.165,40.6
148,6.1,27.6,38.495,40.6
149,6.2,71.6,38.825,40.6
150,6.3,10.6,39.155,40.6
151,6,37.6,39.485,40.6
152,6,61.6,39.815,40.6
153,6.3,43.6,40.145,40.6
154,6.6,37.6,40.475,40.6
155,6.5,37.6,40.805,40.6
156,6.3,58.6,41.135,40.6
157,6.4,25.6,41.465,40.6
158,6.3,12.6,41.795,40.6
159,5.9,43.6,42.125,40.6
160,5.6,48.6,42.455,40.6
161,5.5,58.6,42.785,40.6
162,5.8,66.6,43.115,40.6
163,6.4,32.6,43.445,40.6
164,6.4,58.6,43.775,40.6
165,6.2,40.6,44.105,40.6
166,6.3,43.6,44.435,40.6
167,6.4,68.6,44.765,40.6
168,6.3,83.6,45.095,40.6
169,6.7,40.6,45.425,40.6
170,7.8,-4.4,45.755,40.6
171,6.8,43.6,46.085,40.6
172,6.3,48.6,46.415,40.6
173,6.6,71.6,46.745,40.6
174,7,51.6,47.075,40.6
175,7.3,68.6,47.405,40.6
176,7.1,51.6,47.735,40.6
177,6.4,51.6,48.065,40.6
178,6.1,41.6,48.395,40.6
179,5.7,32.6,48.725,40.6
180,5.3,51.6,49.055,40.6
181,5.5,17.6,49.385,40.6
182,6,56.6,49.68,40.6
183,6.5,63.6,49.82,40.6
184,7.1,53.6,49.83,40.6
185,7.1,66.6,49.83,40.6
186,6.6,35.6,49.83,40.6
187,6.4,81.6,49.83,40.6
188,6.4,63.6,49.83,40.6
189,6.4,68.6,49.83,40.6
190,5.7,81.6,49.83,40.6
191,5.4,68.6,49.83,40.6
192,5.5,66.6,49.83,40.6
193,6,73.6,49.83,40.6
194,6.3,68.6,49.83,40.6
195,5.7,32.6,49.83,40.6
196,5.2,46.6,49.83,40.6
197,5,68.6,49.83,40.6
198,4.7,58.6,49.83,40.6
199,5.4,43.6,49.83,40.6
200,5.7,58.6,49.83,40.6
201,6,41.6,49.83,40.6
202,5.7,40.6,49.83,40.6
203,5.4,63.6,49.83,40.6
204,5.3,56.6,49.83,40.6
205,5.3,43.6,49.83,40.6
206,5.7,53.6,49.83,40.6
207,5.7,58.6,49.83,40.6
208,5.6,66.6,49.83,40.6
209,5.9,25.6,49.83,40.6
210,6.2,48.6,49.83,40.6
211,6.4,63.6,49.83,40.6
212,6.6,41.6,49.83,40.6
213,7,41.6,49.83,40.6
214,7.1,58.6,49.83,40.6
215,6.8,48.6,49.83,40.6
216,6.4,63.6,49.83,40.6
217,6.7,30.6,49.83,40.6
218,6.9,56.6,49.83,40.6
219,6.6,-7.4,49.83,40.6
220,6,32.6,49.83,40.6
221,5.7,25.6,49.83,40.6
222,6,48.6,49.83,40.6
223,6.3,46.6,49.83,40.6
224,6.5,46.6,49.83,40.6
225,6.5,68.6,49.83,40.6
226,6.3,91.6,49.83,40.6
227,6.2,51.6,49.83,40.6
228,6.5,22.6,49.83,40.6
229,6.8,128.6,49.83,40.6
230,6.5,88.6,49.83,40.6
231,6.1,68.6,49.83,40.6
232,6.5,51.6,49.83,40.6
233,6.3,66.6,49.83,40.6
234,6.6,58.6,49.83,40.6
235,6,76.6,49.83,40.6
236,5.6,83.6,49.83,40.6
237,5.8,73.6,49.83,40.6
238,5.6,81.6,49.83,40.6
239,5.2,23.2,49.83,41.2
240,5.6,44.7,49.83,41.7
241,6.1,90.3,49.83,42.3
242,6.4,29.8,49.83,42.8
243,6.4,23.4,49.83,43.4
244,5.9,44.9,49.83,43.9
245,5.9,31.5,49.83,44.5
246,6.1,62,49.83,45
247,6.4,37.5,49.83,45.5
248,6.6,64.1,49.83,46.1
249,6.4,43.1,49.83,46.1
250,6.1,41.1,49.83,46.1
251,5.9,52.1,49.83,46.1
252,5.6,64.1,49.83,46.1
253,5.6,33.1,49.83,46.1
254,5.7,33.1,49.83,46.1
255,6.1,47.1,49.83,46.1
256,6.6,33.1,49.83,46.1
257,6.7,36.1,49.83,46.1
258,6.6,47.1,49.83,46.1
259,6.6,31.1,49.83,46.1
260,7.1,64.1,49.83,46.1
261,7.1,57.1,49.83,46.1
262,6.4,69.1,49.83,46.1
263,5.8,13.1,49.83,46.1
264,5.4,26.1,49.83,46.1
265,6.1,21.1,49.83,46.1
266,6.3,82.1,49.83,46.1
267,6.2,54.1,49.83,46.1
268,5.6,99.1,49.83,46.1
269,5.3,52.1,49.83,46.1
270,5.6,18.1,49.83,46.1
271,5.8,94.1,49.83,46.1
272,5.7,26.1,49.83,46.1
273,6.3,41.1,49.83,46.1
274,6.5,77.1,49.83,46.1
275,6.4,54.1,49.83,46.1
276,6.6,111.1,49.83,46.1
277,5.9,74.1,49.83,46.1
278,6,52.1,49.83,46.1
279,6.4,31.1,49.83,46.1
280,5.7,36.1,49.83,46.1
281,6.2,74.1,49.83,46.1
282,6.3,74.1,49.83,46.1
283,6.7,43.1,49.83,46.1
284,6.5,47.1,49.83,46.1
285,6.4,64.1,49.83,46.1
286,6.3,62.1,49.83,46.1
287,6.8,52.1,49.83,46.1
288,7.7,57.1,49.83,46.1
289,7.5,52.1,49.83,46.1
290,7.1,47.1,49.83,46.1
291,7.1,38.1,49.83,46.1
292,6.5,31.1,49.83,46.1
293,6.2,43.1,49.83,46.1
294,6.7,69.1,49.83,46.1
295,6.8,49.1,49.83,46.1
296,6.7,67.1,49.83,46.1
297,6.2,64.1,49.83,46.1
298,5.8,31.1,49.83,46.1
299,6,52.1,49.83,46.1
300,6.8,62.1,49.83,46.1
301,6.9,82.1,49.83,46.1
302,6.6,77.1,49.83,46.1
303,6.1,87.1,49.83,46.1
304,6.2,49.1,49.83,46.1
305,6.6,21.1,49.83,46.1
306,6.4,26.1,49.83,46.1
307,6.3,36.1,49.83,46.1
308,6.4,59.1,49.83,46.1
309,6.6,89.1,49.83,46.1
310,6.3,41.1,49.83,46.1
311,6,64.1,49.83,46.1
312,6,33.1,49.83,46.1
313,5.9,46.1,49.83,46.1
314,6.2,59.1,49.83,46.1
315,7,47.1,49.83,46.1
316,6.7,49.1,49.83,46.1
317,6,64.1,49.83,46.1
318,6.2,62.1,49.83,46.1
319,6.7,41.1,49.83,46.1
320,6.6,31.1,49.83,46.1
321,6.4,26.1,49.83,46.1
322,6,26.1,49.83,46.1
323,5.5,62.1,49.83,46.1
324,5.8,28.1,49.83,46.1
325,6.1,46.1,49.83,46.1
326,6.4,77.1,49.83,46.1
327,6.5,43.1,49.83,46.1
328,6.4,31.1,49.83,46.1
329,5.8,64.1,49.83,46.1
330,5.7,47.1,49.83,46.1
331,6.3,54.1,49.83,46.1
332,6.1,94.1,49.83,46.1
333,6.4,57.1,49.83,46.1
334,6.5,49.1,49.83,46.1
335,6.6,26.1,49.83,46.1
336,6.4,52.1,49.83,46.1
337,6.3,36.1,49.83,46.1
338,6,47.1,49.83,46.1
